id,name,host_id,host_name,host_is_superhost,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,number_of_reviews,review_scores_rating
1003661256902816864,Rental unit in Singapore · 1 bedroom · 1 bed · 1 private bath,10248444,Recr,False,91,True,River Valley,Private room,2,1,185.0,2.0,365.0,True,1,4.0
1003684360804452274,Rental unit in Singapore · 1 bedroom · 2 beds · 1 bath,61619807,Ong,False,72,True,River Valley,Entire home/apt,5,2,296.0,2.0,365.0,True,0,NaN
1003804545207627519,Rental unit in Singapore · 1 bedroom · 1 bed · 1 bath,25375339,シン,True,12,True,Geylang,Private room,1,1,48.0,25.0,365.0,True,1,1.0
1003923515839548471,Serviced apartment in Singapore · Studio · 1 bed · 1 bath,124516401,Orchard Point,True,8,True,Orchard,Entire home/apt,2,1,748.0,1.0,365.0,True,0,NaN
1004652336577626435,Serviced apartment in Singapore · 1 bedroom · 1 bed · 1 bath,124516401,Orchard Point,True,8,True,Orchard,Entire home/apt,2,1,810.0,1.0,365.0,True,0,NaN
1004668708355951146,Serviced apartment in Singapore · 2 bedrooms · 2 beds · 2 baths,124516401,Orchard Point,True,8,True,Orchard,Entire home/apt,3,2,1320.0,1.0,365.0,True,0,NaN
1004683256958225647,Hotel in Singapore · ★New · 1 bedroom · 1 bed · 1 bath,542352890,Hotel Snow,False,3,True,Kallang,Private room,2,1,154.0,1.0,365.0,True,0,NaN
1004793478536324006,Serviced apartment in Singapore · ★New · 1 bedroom · 1 bed · 1 bath,138649185,Apac,False,875,True,Newton,Entire home/apt,2,1,279.0,92.0,730.0,True,0,NaN
1005499001072566754,Rental unit in Singapore · ★New · 1 bedroom · 1 bed · 1 bath,466330896,Blueground,False,96,True,Newton,Entire home/apt,2,1,238.0,354.9,1125.0,True,0,NaN
1005501016763146975,Rental unit in Singapore · ★New · 2 bedrooms · 2 beds · 2 baths,466330896,Blueground,False,96,True,River Valley,Entire home/apt,4,2,263.0,353.7,1125.0,True,0,NaN
1005585709835773544,Hotel in Singapore · ★New · 1 bedroom · 1 bed · 1 bath,542352890,Hotel Snow,False,3,True,Kallang,Private room,3,1,151.0,1.0,365.0,True,0,NaN
1005589427053270435,Hotel in Singapore · ★New · 1 bedroom · 1 bed · 1 bath,542352890,Hotel Snow,False,3,True,Kallang,Private room,1,1,94.0,1.0,365.0,True,1,5.0
